Player,Nation,Pos,Age,90s,TacklesTkl,TacklesTklW,TacklesDef_3rd,TacklesMid_3rd,TacklesAtt_3rd,ChallengesTkl,ChallengesAtt,ChallengesTkl%,ChallengesLost,BlocksBlocks,BlocksSh,BlocksPass,Int,Tkl+Int,Clr,Err
Dejan Kulusevski,se SWE,"MF,FW",24.82,22.7,35,19,11,10,14,14,41,34.1,27,24,3,21,10,45,8,1
Pedro Porro,es ESP,DF,25.43,23.1,53,38,26,18,9,37,63,58.7,26,37,13,24,28,81,69,1
Son Heung-min,kr KOR,FW,32.61,18.6,16,9,3,8,5,5,20,25.0,15,8,0,8,4,20,15,1
Dominic Solanke,eng ENG,FW,27.43,17.8,15,9,1,10,4,3,9,33.3,6,13,4,9,0,15,18,0
Destiny Udogie,it ITA,DF,22.22,15.9,50,31,26,17,7,23,34,67.6,11,27,2,25,17,67,25,1
Brennan Johnson,wls WAL,FW,23.74,16.9,32,20,5,19,8,12,25,48.0,13,16,2,14,4,36,10,0
James Maddison,eng ENG,MF,28.24,15.1,22,13,5,11,6,8,24,33.3,16,12,3,9,11,33,16,0
Pape Matar Sarr,sn SEN,MF,22.43,14.2,34,24,15,17,2,7,17,41.2,10,19,6,13,19,53,17,1
Radu Drăgușin,ro ROU,DF,23.04,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4
Guglielmo Vicario,it ITA,GK,28.36,13.0,0,0,0,0,0,0,0,NULL,0,0,0,0,1,1,7,2
Yves Bissouma,ml MLI,MF,28.47,11.7,36,23,14,19,3,16,29,55.2,13,7,4,3,13,49,30,3
Cristian Romero,ar ARG,DF,26.81,10.8,27,23,22,5,0,15,22,68.2,7,13,3,10,13,40,32,0
Rodrigo Bentancur,uy URU,MF,27.65,10.5,26,13,11,13,2,13,22,59.1,9,14,3,11,23,49,19,1
Archie Gray,eng ENG,DF,18.94,10.8,10,4,3,4,3,5,14,35.7,9,12,7,5,8,18,33,2
Micky van de Ven,nl NED,DF,23.83,8.8,8,5,3,4,1,6,11,54.5,5,8,5,3,9,17,29,1
Djed Spence,eng ENG,DF,24.53,8.6,28,23,17,6,5,16,19,84.2,3,17,7,10,9,37,25,1
Ben Davies,wls WAL,DF,31.82,7.0,5,4,1,4,0,3,8,37.5,5,14,9,5,7,12,41,0
Fraser Forster,eng ENG,GK,36.92,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,3
Lucas Bergvall,se SWE,MF,19.04,7.4,22,14,9,10,3,12,20,60.0,8,10,6,4,14,36,17,2
Timo Werner,de GER,"FW,MF",28.95,5.6,6,4,3,3,0,3,13,23.1,10,10,1,9,1,7,7,0
Antonín Kinský,cz CZE,GK,21.93,4.0,3,1,3,0,0,1,1,100.0,0,0,0,0,0,3,5,1
Richarlison,br BRA,FW,27.77,3.1,4,3,0,3,1,0,0,NULL,0,1,1,0,0,4,8,0
Mikey Moore,eng ENG,"FW,MF",17.52,2.1,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0
Wilson Odobert,fr FRA,FW,20.22,1.8,5,2,2,2,1,4,6,66.7,2,1,0,1,0,5,1,1
Brandon Austin,eng ENG,GK,26.11,1.0,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,1,0
Mathys Tel,fr FRA,FW,19.81,1.0,0,0,0,0,0,0,0,NULL,0,1,0,1,0,0,0,0
Kevin Danso,at AUT,DF,26.41,0.9,1,0,1,0,0,0,0,NULL,0,0,0,0,1,2,6,0
Sergio Reguilón,es ESP,DF,28.17,1.4,4,3,1,3,0,2,3,66.7,1,4,0,4,2,6,3,0
Alfie Dorrington,eng ENG,DF,19.83,0.2,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
Dane Scarlett,eng ENG,FW,20.90,0.1,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
Will Lankshear,eng ENG,"FW,MF",19.83,0.1,0,0,0,0,0,0,0,NULL,0,0,0,0,0,0,0,0
