Player,Nation,Pos,Age,90s,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,ExpectedxA,ExpectedA-xAG,KP,1/3,PPA,CrsPA,PrgP
Dejan Kulusevski,se SWE,"MF,FW",24.82,22.7,578,791,73.1,8099,2596,353,411,85.9,172,224,76.8,30,74,40.5,4,5.9,3.8,-1.9,60,56,50,6,112
Pedro Porro,es ESP,DF,25.43,23.1,1081,1476,73.2,18616,7292,548,628,87.3,400,514,77.8,107,240,44.6,5,2.7,3.1,2.3,37,100,45,18,126
Son Heung-min,kr KOR,FW,32.61,18.6,587,737,79.6,8271,2127,366,405,90.4,162,201,80.6,31,61,50.8,7,6.5,4.2,0.5,41,29,42,5,87
Dominic Solanke,eng ENG,FW,27.43,17.8,200,283,70.7,2675,744,122,165,73.9,50,65,76.9,10,16,62.5,3,2.6,1.1,0.4,12,22,9,0,37
Destiny Udogie,it ITA,DF,22.22,15.9,762,868,87.8,10869,3547,435,472,92.2,285,315,90.5,16,21,76.2,1,1.3,1.1,-0.3,13,70,5,1,97
Brennan Johnson,wls WAL,FW,23.74,16.9,322,454,70.9,4222,1172,196,242,81.0,103,138,74.6,7,18,38.9,2,1.3,1.3,0.7,14,22,24,4,51
James Maddison,eng ENG,MF,28.24,15.1,775,958,80.9,12524,3843,381,422,90.3,315,367,85.8,53,120,44.2,4,2.8,4.8,1.2,27,87,29,5,125
Pape Matar Sarr,sn SEN,MF,22.43,14.2,672,771,87.2,10464,2508,356,392,90.8,259,286,90.6,37,47,78.7,2,1.4,0.6,0.6,11,71,8,2,68
Radu Drăgușin,ro ROU,DF,23.04,13.9,716,840,85.2,13638,5250,223,245,91.0,437,470,93.0,47,107,43.9,0,0.4,0.2,-0.4,4,52,2,1,37
Guglielmo Vicario,it ITA,GK,28.36,13.0,447,488,91.6,8421,4984,145,146,99.3,253,257,98.4,43,78,55.1,0,0.0,0.0,0.0,0,1,0,0,1
Yves Bissouma,ml MLI,MF,28.47,11.7,583,653,89.3,8963,2452,315,338,93.2,216,230,93.9,30,50,60.0,0,0.2,0.6,-0.2,5,51,10,1,66
Cristian Romero,ar ARG,DF,26.81,10.8,793,880,90.1,14806,5799,275,298,92.3,451,477,94.5,57,85,67.1,0,0.5,0.7,-0.5,6,85,7,1,48
Rodrigo Bentancur,uy URU,MF,27.65,10.5,589,659,89.4,9445,2380,296,320,92.5,250,267,93.6,29,39,74.4,0,0.4,0.7,-0.4,8,66,7,1,65
Archie Gray,eng ENG,DF,18.94,10.8,652,735,88.7,11041,3532,259,281,92.2,353,382,92.4,31,51,60.8,0,0.0,0.1,0.0,0,24,0,0,25
Micky van de Ven,nl NED,DF,23.83,8.8,589,645,91.3,11030,3317,180,196,91.8,369,383,96.3,35,53,66.0,2,1.2,0.7,0.8,2,41,1,0,43
Djed Spence,eng ENG,DF,24.53,8.6,479,556,86.2,6763,1821,286,302,94.7,161,187,86.1,13,26,50.0,1,1.2,0.8,-0.2,7,42,9,5,45
Ben Davies,wls WAL,DF,31.82,7.0,454,511,88.8,8448,3578,160,173,92.5,249,264,94.3,39,57,68.4,0,0.1,0.2,-0.1,1,27,1,0,28
Fraser Forster,eng ENG,GK,36.92,7.0,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,0
Lucas Bergvall,se SWE,MF,19.04,7.4,415,462,89.8,6844,1310,203,220,92.3,170,182,93.4,32,41,78.0,0,0.4,0.5,-0.4,6,34,5,2,32
Timo Werner,de GER,"FW,MF",28.95,5.6,155,233,66.5,2327,585,79,96,82.3,59,84,70.2,7,18,38.9,3,2.5,1.5,0.5,10,3,15,2,29
Antonín Kinský,cz CZE,GK,21.93,4.0,116,145,80.0,2699,1686,17,17,100.0,73,76,96.1,23,48,47.9,0,0.1,0.0,-0.1,1,2,0,0,1
Richarlison,br BRA,FW,27.77,3.1,49,75,65.3,750,272,24,32,75.0,16,26,61.5,5,7,71.4,1,0.9,0.6,0.1,4,7,4,2,10
Mikey Moore,eng ENG,"FW,MF",17.52,2.1,48,67,71.6,593,166,30,31,96.8,13,20,65.0,1,5,20.0,1,0.3,0.5,0.7,3,1,5,1,7
Wilson Odobert,fr FRA,FW,20.22,1.8,60,79,75.9,738,110,43,47,91.5,14,20,70.0,0,1,0.0,0,0.1,0.1,-0.1,3,3,3,0,10
Brandon Austin,eng ENG,GK,26.11,1.0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0
Mathys Tel,fr FRA,FW,19.81,1.0,16,23,69.6,212,27,12,15,80.0,4,7,57.1,0,0,NULL,0,0.1,0.1,-0.1,1,0,0,0,0
Kevin Danso,at AUT,DF,26.41,0.9,53,60,88.3,898,350,23,24,95.8,26,29,89.7,3,5,60.0,0,0.0,0.0,0.0,1,5,1,1,1
Sergio Reguilón,es ESP,DF,28.17,1.4,73,105,69.5,1144,410,33,44,75.0,36,47,76.6,3,9,33.3,0,0.0,0.2,0.0,1,11,2,1,12
Alfie Dorrington,eng ENG,DF,19.83,0.2,15,16,93.8,304,39,6,7,85.7,7,7,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Dane Scarlett,eng ENG,FW,20.90,0.1,1,2,50.0,8,0,1,1,100.0,0,0,NULL,0,0,NULL,0,0.0,0.0,0.0,0,0,0,0,0
Will Lankshear,eng ENG,"FW,MF",19.83,0.1,0,1,0.0,0,0,0,1,0.0,0,0,NULL,0,0,NULL,0,0.0,0.0,0.0,0,0,0,0,0
