Player,Nation,Pos,Age,90s,TouchesTouches,TouchesDef_Pen,TouchesDef_3rd,TouchesMid_3rd,TouchesAtt_3rd,TouchesAtt_Pen,TouchesLive,Take-OnsAtt,Take-OnsSucc,Take-OnsSucc%,Take-OnsTkld,Take-OnsTkld%,CarriesCarries,CarriesTotDist,CarriesPrgDist,CarriesPrgC,Carries1/3,CarriesCPA,CarriesMis,CarriesDis,ReceivingRec,ReceivingPrgR
Dejan Kulusevski,se SWE,"MF,FW",24.82,22.7,1113,20,116,366,654,142,1113,104,34,32.7,62,59.6,726,5616,3007,113,63,36,64,66,795,191
Pedro Porro,es ESP,DF,25.43,23.1,1756,104,518,623,627,27,1756,28,10,35.7,16,57.1,918,4258,2198,53,35,4,18,16,1010,86
Son Heung-min,kr KOR,FW,32.61,18.6,907,12,89,287,540,95,906,66,27,40.9,32,48.5,597,3612,1860,71,40,31,23,22,697,209
Dominic Solanke,eng ENG,FW,27.43,17.8,502,25,49,229,230,93,502,42,14,33.3,26,61.9,281,1584,658,27,20,13,44,35,338,71
Destiny Udogie,it ITA,DF,22.22,15.9,1057,42,270,467,330,41,1057,25,10,40.0,12,48.0,575,3156,1789,39,29,8,24,16,636,79
Brennan Johnson,wls WAL,FW,23.74,16.9,616,12,59,191,374,101,616,28,14,50.0,11,39.3,376,2134,1118,48,15,27,19,10,442,154
James Maddison,eng ENG,MF,28.24,15.1,1128,20,154,510,476,64,1128,55,26,47.3,23,41.8,781,3876,1784,36,33,15,19,19,871,71
Pape Matar Sarr,sn SEN,MF,22.43,14.2,927,29,205,517,222,15,927,21,10,47.6,9,42.9,586,3446,1469,23,25,4,22,16,659,38
Radu Drăgușin,ro ROU,DF,23.04,13.9,961,148,510,430,30,12,961,2,0,0.0,0,0.0,623,3349,1666,7,3,0,8,2,669,2
Guglielmo Vicario,it ITA,GK,28.36,13.0,519,336,509,10,0,0,519,1,1,100.0,0,0.0,377,1796,973,0,0,0,0,0,340,0
Yves Bissouma,ml MLI,MF,28.47,11.7,796,53,221,451,130,4,796,18,6,33.3,12,66.7,469,2858,1332,15,17,0,20,9,541,3
Cristian Romero,ar ARG,DF,26.81,10.8,981,112,402,531,54,16,981,3,1,33.3,1,33.3,656,3423,2136,10,16,0,4,3,672,2
Rodrigo Bentancur,uy URU,MF,27.65,10.5,788,40,181,476,137,12,788,11,5,45.5,5,45.5,468,2100,892,15,12,3,8,13,526,14
Archie Gray,eng ENG,DF,18.94,10.8,818,107,407,370,50,1,818,7,4,57.1,2,28.6,561,2493,1029,3,5,0,3,7,608,7
Micky van de Ven,nl NED,DF,23.83,8.8,716,79,373,319,32,8,716,6,4,66.7,2,33.3,504,2357,1129,8,10,1,4,4,520,1
Djed Spence,eng ENG,DF,24.53,8.6,677,38,229,306,150,12,677,39,22,56.4,14,35.9,393,2345,1341,30,25,5,10,12,432,38
Ben Davies,wls WAL,DF,31.82,7.0,591,105,305,259,27,6,591,0,0,NULL,0,NULL,334,1662,973,5,5,0,1,0,396,4
Fraser Forster,eng ENG,GK,36.92,7.0,228,212,228,0,0,0,228,1,1,100.0,0,0.0,113,501,264,0,0,0,1,0,94,0
Lucas Bergvall,se SWE,MF,19.04,7.4,557,25,119,301,147,10,557,25,12,48.0,9,36.0,334,2097,960,16,12,1,14,11,384,16
Timo Werner,de GER,"FW,MF",28.95,5.6,294,8,23,78,200,33,294,19,10,52.6,8,42.1,211,1750,1050,42,24,18,14,6,223,87
Antonín Kinský,cz CZE,GK,21.93,4.0,156,134,154,2,0,0,156,0,0,NULL,0,NULL,97,444,267,1,0,0,0,0,98,0
Richarlison,br BRA,FW,27.77,3.1,116,8,19,62,36,12,116,9,1,11.1,7,77.8,56,310,138,8,7,3,4,5,79,17
Mikey Moore,eng ENG,"FW,MF",17.52,2.1,96,1,10,22,65,12,96,11,1,9.1,9,81.8,68,521,239,9,3,4,6,4,73,30
Wilson Odobert,fr FRA,FW,20.22,1.8,109,2,11,31,68,13,109,13,5,38.5,7,53.8,78,643,414,13,11,6,4,4,81,18
Brandon Austin,eng ENG,GK,26.11,1.0,36,30,36,0,0,0,36,0,0,NULL,0,NULL,22,104,46,0,0,0,0,0,16,0
Mathys Tel,fr FRA,FW,19.81,1.0,41,0,2,9,30,9,41,5,1,20.0,3,60.0,30,142,53,2,4,0,3,3,30,6
Kevin Danso,at AUT,DF,26.41,0.9,70,7,25,41,4,2,70,0,0,NULL,0,NULL,52,268,106,1,0,0,0,0,53,0
Sergio Reguilón,es ESP,DF,28.17,1.4,121,2,28,61,33,3,121,4,2,50.0,0,0.0,64,293,180,4,2,1,1,1,74,10
Alfie Dorrington,eng ENG,DF,19.83,0.2,16,0,11,5,0,0,16,0,0,NULL,0,NULL,12,61,26,0,0,0,0,0,13,0
Dane Scarlett,eng ENG,FW,20.90,0.1,2,0,0,2,0,0,2,0,0,NULL,0,NULL,1,24,21,1,0,0,0,0,0,0
Will Lankshear,eng ENG,"FW,MF",19.83,0.1,3,0,0,2,1,0,3,0,0,NULL,0,NULL,3,3,0,0,0,0,2,0,3,1
