Player,Nation,Pos,Age,MP,Playing_TimeStarts,Playing_TimeMin,Playing_Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,ProgressionPrgR,Per_90_MinutesGls,Per_90_MinutesAst,Per_90_MinutesG+A,Per_90_MinutesG-PK,Per_90_MinutesG+A-PK,Per_90_MinutesxG,Per_90_MinutesxAG,Per_90_MinutesxG+xAG,Per_90_MinutesnpxG,Per_90_MinutesnpxG+xAG
Dejan Kulusevski,se SWE,"MF,FW",24.82,25,23,2040.0,22.7,6.0,4.0,10.0,6.0,0.0,0.0,3.0,0.0,4.0,4.0,5.9,9.9,113.0,112.0,191.0,0.26,0.18,0.44,0.26,0.44,0.18,0.26,0.44,0.18,0.44
Pedro Porro,es ESP,DF,25.43,25,22,2078.0,23.1,2.0,5.0,7.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,2.7,4.2,53.0,126.0,86.0,0.09,0.22,0.3,0.09,0.3,0.06,0.12,0.18,0.06,0.18
Son Heung-min,kr KOR,FW,32.61,22,20,1671.0,18.6,6.0,7.0,13.0,6.0,0.0,1.0,1.0,0.0,5.2,4.4,6.5,10.9,71.0,87.0,209.0,0.32,0.38,0.7,0.32,0.7,0.28,0.35,0.63,0.24,0.59
Dominic Solanke,eng ENG,FW,27.43,18,18,1598.0,17.8,7.0,3.0,10.0,7.0,0.0,0.0,0.0,0.0,8.5,8.5,2.6,11.0,27.0,37.0,71.0,0.39,0.17,0.56,0.39,0.56,0.48,0.14,0.62,0.48,0.62
Destiny Udogie,it ITA,DF,22.22,18,18,1430.0,15.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.3,1.6,39.0,97.0,79.0,0.0,0.06,0.06,0.0,0.06,0.02,0.08,0.1,0.02,0.1
Brennan Johnson,wls WAL,FW,23.74,22,16,1519.0,16.9,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,8.0,8.0,1.3,9.3,48.0,51.0,154.0,0.41,0.12,0.53,0.41,0.53,0.47,0.08,0.55,0.47,0.55
James Maddison,eng ENG,MF,28.24,23,16,1363.0,15.1,9.0,4.0,13.0,9.0,0.0,0.0,4.0,0.0,5.7,5.7,2.8,8.4,36.0,125.0,71.0,0.59,0.26,0.86,0.59,0.86,0.37,0.18,0.56,0.37,0.56
Pape Matar Sarr,sn SEN,MF,22.43,25,15,1282.0,14.2,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.4,2.4,1.4,3.8,23.0,68.0,38.0,0.14,0.14,0.28,0.14,0.28,0.17,0.1,0.27,0.17,0.27
Radu Drăgușin,ro ROU,DF,23.04,16,14,1252.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,7.0,37.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
Guglielmo Vicario,it ITA,GK,28.36,13,13,1170.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
