Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Pedro Porro,es ESP,DF,25.66,28.0,4,0,0,24,31,1,194,34,46,0,0,0,148,11,22,33.3
Dejan Kulusevski,se SWE,"MF,FW",25.05,26.5,3,0,0,48,38,5,89,13,23,0,0,0,121,10,15,40.0
Dominic Solanke,eng ENG,FW,27.66,23.5,0,0,0,36,36,5,4,0,11,0,0,1,37,44,59,42.7
Brennan Johnson,wls WAL,FW,23.97,23.1,5,0,0,26,25,12,52,4,26,2,0,0,60,7,20,25.9
Guglielmo Vicario,it ITA,GK,28.59,23.0,1,0,0,0,2,0,0,1,0,0,0,0,32,9,0,100.0
Son Heung-min,kr KOR,FW,32.84,22.6,1,0,0,6,28,12,76,5,9,1,0,0,81,6,12,33.3
Destiny Udogie,it ITA,DF,22.45,20.4,2,0,0,29,38,2,19,21,47,0,0,1,109,13,13,50.0
James Maddison,eng ENG,MF,28.47,20.1,6,0,0,32,64,4,98,12,19,0,0,0,76,5,7,41.7
Pape Matar Sarr,sn SEN,MF,22.66,20.2,6,0,0,31,35,2,14,27,35,0,1,0,109,31,42,42.5
Rodrigo Bentancur,uy URU,MF,27.88,17.4,8,0,0,32,10,1,4,36,20,0,0,0,115,36,29,55.4
Djed Spence,eng ENG,DF,24.76,18.8,4,1,1,20,23,2,25,20,33,0,0,1,108,21,13,61.8
Cristian Romero,ar ARG,DF,27.04,15.7,3,0,0,14,12,2,3,21,29,0,0,0,90,41,27,60.3
Archie Gray,eng ENG,"DF,MF",19.17,17.5,0,0,0,12,11,0,16,15,8,0,0,1,65,10,9,52.6
Yves Bissouma,ml MLI,MF,28.70,14.9,7,0,0,26,18,0,2,17,30,0,1,0,81,7,7,50.0
Radu Drăgușin,ro ROU,DF,23.27,13.9,1,0,0,6,10,0,1,15,6,0,0,0,48,33,22,60.0
Ben Davies,wls WAL,DF,32.05,13.5,4,0,0,16,7,0,4,12,11,0,0,0,40,51,42,54.8
Lucas Bergvall,se SWE,MF,19.27,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9
Micky van de Ven,nl NED,DF,24.06,10.6,4,0,0,10,8,0,0,10,6,0,0,0,61,19,18,51.4
Mathys Tel,fr FRA,FW,20.04,8.2,1,0,0,9,12,1,31,1,5,0,0,0,35,4,3,57.1
Wilson Odobert,fr FRA,FW,20.45,8.0,0,0,0,1,3,1,25,3,4,0,0,0,30,3,7,30.0
Kevin Danso,at AUT,DF,26.64,7.4,0,0,0,7,11,0,1,3,5,0,0,0,24,20,9,69.0
Fraser Forster,eng ENG,GK,37.15,7.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0
Antonín Kinský,cz CZE,GK,22.16,5.0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,100.0
Timo Werner,de GER,"FW,MF",29.18,5.7,0,0,0,3,5,5,28,1,4,0,0,0,18,0,1,0.0
Richarlison,br BRA,FW,28.01,5.3,2,0,0,6,13,3,7,0,3,0,0,0,10,9,22,29.0
Mikey Moore,eng ENG,FW,17.75,3.1,0,0,0,3,5,3,15,1,0,0,0,0,10,1,5,16.7
Brandon Austin,eng ENG,GK,26.34,1.0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,100.0
Sergio Reguilón,es ESP,DF,28.40,1.4,2,0,0,2,5,0,10,2,3,0,0,0,9,5,2,71.4
Dane Scarlett,eng ENG,"FW,MF",21.13,0.4,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,100.0
Alfie Dorrington,eng ENG,DF,20.06,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NULL
Will Lankshear,eng ENG,"FW,MF",20.06,0.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NULL
