Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Pedro Porro,es ESP,DF,25.66,28.0,1844,1495,342,52,4,16,194,238,52,4,43,0,1355,7,72
Dejan Kulusevski,se SWE,"MF,FW",25.05,26.5,893,800,84,4,11,1,89,6,62,26,0,0,658,9,42
Dominic Solanke,eng ENG,FW,27.66,23.5,352,312,38,0,3,1,4,2,0,0,0,0,250,2,15
Brennan Johnson,wls WAL,FW,23.97,23.1,617,605,10,0,0,0,52,10,0,0,0,0,438,2,37
Guglielmo Vicario,it ITA,GK,28.59,23.0,841,746,95,32,0,1,0,0,0,0,0,0,737,0,2
Son Heung-min,kr KOR,FW,32.84,22.6,898,827,69,15,4,4,76,12,37,24,5,0,709,2,25
Destiny Udogie,it ITA,DF,22.45,20.4,1084,920,163,28,0,0,19,135,0,0,0,0,947,1,34
James Maddison,eng ENG,MF,28.47,20.1,1256,1118,132,48,12,5,98,5,59,37,8,0,1021,6,15
Pape Matar Sarr,sn SEN,MF,22.66,20.2,1003,975,25,9,1,3,14,11,0,0,0,0,869,3,19
Rodrigo Bentancur,uy URU,MF,27.88,17.4,1054,1014,38,31,4,2,4,2,0,0,0,0,926,2,19
Djed Spence,eng ENG,DF,24.76,18.8,1128,948,176,30,2,2,25,146,0,0,0,0,962,4,19
Cristian Romero,ar ARG,DF,27.04,15.7,1223,1120,101,80,4,2,3,7,0,0,0,0,1094,2,7
Archie Gray,eng ENG,"DF,MF",19.17,17.5,1100,1012,84,29,0,2,16,43,4,0,4,0,962,4,17
Yves Bissouma,ml MLI,MF,28.70,14.9,828,783,42,41,2,2,2,1,0,0,0,0,737,3,9
Radu Drăgușin,ro ROU,DF,23.27,13.9,840,793,47,40,1,3,1,3,0,0,0,0,716,0,5
Ben Davies,wls WAL,DF,32.05,13.5,971,879,89,24,1,5,4,5,0,0,0,0,848,3,6
Lucas Bergvall,se SWE,MF,19.27,13.5,720,675,44,21,0,8,21,10,8,5,2,0,629,1,11
Micky van de Ven,nl NED,DF,24.06,10.6,776,735,40,17,0,1,0,4,0,0,0,0,706,1,5
Mathys Tel,fr FRA,FW,20.04,8.2,232,213,18,2,2,1,31,5,7,5,2,0,162,1,9
Wilson Odobert,fr FRA,FW,20.45,8.0,252,245,3,0,0,1,25,2,1,0,0,0,194,4,13
Kevin Danso,at AUT,DF,26.64,7.4,483,464,19,15,0,2,1,0,0,0,0,0,416,0,8
Fraser Forster,eng ENG,GK,37.15,7.0,198,125,72,16,0,1,0,0,0,0,0,0,168,1,0
Antonín Kinský,cz CZE,GK,22.16,5.0,181,150,30,7,0,0,0,0,0,0,0,0,143,1,1
Timo Werner,de GER,"FW,MF",29.18,5.7,236,222,12,2,2,2,28,8,2,1,0,0,158,2,15
Richarlison,br BRA,FW,28.01,5.3,95,91,4,1,0,3,7,0,0,0,0,0,60,0,3
Mikey Moore,eng ENG,FW,17.75,3.1,86,78,8,0,0,0,15,2,6,3,0,0,60,0,5
Brandon Austin,eng ENG,GK,26.34,1.0,32,24,8,2,0,0,0,0,0,0,0,0,22,0,0
Sergio Reguilón,es ESP,DF,28.40,1.4,105,88,16,1,0,0,10,13,2,1,1,0,73,1,4
Dane Scarlett,eng ENG,"FW,MF",21.13,0.4,5,5,0,0,0,0,0,0,0,0,0,0,3,0,1
Alfie Dorrington,eng ENG,DF,20.06,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Will Lankshear,eng ENG,"FW,MF",20.06,0.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
