Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Per_90_MinutesGls,Per_90_MinutesAst,Per_90_MinutesG+A,Per_90_MinutesG-PK,G+A-PK,Per_90_MinutesxG,Per_90_MinutesxAG,xG+xAG,Per_90_MinutesnpxG,Per_90_MinutesnpxG+xAG
Pedro Porro,es ESP,DF,25.66,32,27,2520,28.0,2,6,8,2,0,0,4,0,1.6,1.6,4.4,6.0,64,152,107,0.07,0.21,0.29,0.07,0.29,0.06,0.16,0.21,0.06,0.21
Dejan Kulusevski,se SWE,"MF,FW",25.05,32,27,2389,26.5,7,4,11,7,0,0,3,0,4.2,4.2,6.2,10.4,120,124,210,0.26,0.15,0.41,0.26,0.41,0.16,0.23,0.39,0.16,0.39
Dominic Solanke,eng ENG,FW,27.66,25,24,2119,23.5,8,3,11,8,0,0,0,0,10.1,10.1,2.9,13.1,29,45,88,0.34,0.13,0.47,0.34,0.47,0.43,0.13,0.56,0.43,0.56
Brennan Johnson,wls WAL,FW,23.97,31,23,2083,23.1,11,3,14,11,0,0,5,0,9.8,9.8,2.3,12.1,57,70,194,0.48,0.13,0.60,0.48,0.60,0.43,0.10,0.52,0.43,0.52
Guglielmo Vicario,it ITA,GK,28.59,23,23,2070,23.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Son Heung-min,kr KOR,FW,32.84,29,23,2037,22.6,7,9,16,6,1,2,1,0,7.1,5.5,8.2,13.8,89,108,262,0.31,0.40,0.71,0.27,0.66,0.31,0.36,0.68,0.24,0.61
Destiny Udogie,it ITA,DF,22.45,24,23,1834,20.4,0,1,1,0,0,0,2,0,0.3,0.3,1.5,1.8,54,120,93,0.00,0.05,0.05,0.00,0.05,0.01,0.07,0.09,0.01,0.09
James Maddison,eng ENG,MF,28.47,31,21,1809,20.1,9,7,16,9,0,0,6,0,5.8,5.8,4.2,10.0,45,164,95,0.45,0.35,0.80,0.45,0.80,0.29,0.21,0.50,0.29,0.50
Pape Matar Sarr,sn SEN,MF,22.66,34,20,1816,20.2,3,2,5,3,0,0,6,0,3.7,3.7,1.6,5.3,32,86,52,0.15,0.10,0.25,0.15,0.25,0.18,0.08,0.26,0.18,0.26
Rodrigo Bentancur,uy URU,MF,27.88,24,20,1563,17.4,2,0,2,2,0,0,8,0,1.3,1.3,0.4,1.7,26,99,34,0.12,0.00,0.12,0.12,0.12,0.08,0.02,0.10,0.08,0.10
Djed Spence,eng ENG,DF,24.76,23,18,1694,18.8,1,2,3,1,0,0,4,1,0.6,0.6,1.8,2.3,58,103,70,0.05,0.11,0.16,0.05,0.16,0.03,0.09,0.12,0.03,0.12
Cristian Romero,ar ARG,DF,27.04,18,18,1416,15.7,1,0,1,1,0,0,3,0,1.6,1.6,0.6,2.2,12,71,3,0.06,0.00,0.06,0.06,0.06,0.10,0.04,0.14,0.10,0.14
Archie Gray,eng ENG,"DF,MF",19.17,26,17,1571,17.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,37,17,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Yves Bissouma,ml MLI,MF,28.70,26,16,1345,14.9,2,0,2,2,0,0,7,0,0.6,0.6,0.3,0.9,15,74,3,0.13,0.00,0.13,0.13,0.13,0.04,0.02,0.06,0.04,0.06
Radu Drăgușin,ro ROU,DF,23.27,16,14,1252,13.9,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,7,37,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
Ben Davies,wls WAL,DF,32.05,15,13,1216,13.5,0,0,0,0,0,0,4,0,0.3,0.3,0.2,0.5,14,51,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04
Lucas Bergvall,se SWE,MF,19.27,27,11,1212,13.5,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.3,33,49,31,0.00,0.07,0.07,0.00,0.07,0.05,0.04,0.09,0.05,0.09
Micky van de Ven,nl NED,DF,24.06,12,11,950,10.6,0,2,2,0,0,0,4,0,0.6,0.6,1.2,1.7,8,51,1,0.00,0.19,0.19,0.00,0.19,0.05,0.11,0.16,0.05,0.16
Mathys Tel,fr FRA,FW,20.04,11,9,739,8.2,2,1,3,1,1,1,1,0,2.3,1.5,1.5,3.0,22,19,60,0.24,0.12,0.37,0.12,0.24,0.28,0.19,0.47,0.18,0.37
Wilson Odobert,fr FRA,FW,20.45,14,8,719,8.0,1,0,1,1,0,0,0,0,1.2,1.2,0.9,2.1,43,23,65,0.13,0.00,0.13,0.13,0.13,0.15,0.11,0.27,0.15,0.27
Kevin Danso,at AUT,DF,26.64,8,7,662,7.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,18,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.06,0.06,0.06
Fraser Forster,eng ENG,GK,37.15,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Antonín Kinský,cz CZE,GK,22.16,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
Timo Werner,de GER,"FW,MF",29.18,18,4,516,5.7,0,3,3,0,0,0,0,0,1.0,1.0,2.5,3.5,42,30,89,0.00,0.52,0.52,0.00,0.52,0.17,0.44,0.61,0.17,0.61
Richarlison,br BRA,FW,28.01,13,4,475,5.3,4,1,5,4,0,0,2,0,3.7,3.7,0.9,4.6,8,11,22,0.76,0.19,0.95,0.76,0.95,0.70,0.17,0.87,0.70,0.87
Mikey Moore,eng ENG,FW,17.75,9,2,280,3.1,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.5,11,8,37,0.00,0.32,0.32,0.00,0.32,0.06,0.11,0.17,0.06,0.17
Brandon Austin,eng ENG,GK,26.34,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sergio Reguilón,es ESP,DF,28.40,3,0,123,1.4,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,4,12,10,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
Dane Scarlett,eng ENG,"FW,MF",21.13,3,0,34,0.4,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,1,0.00,2.65,2.65,0.00,2.65,0.09,0.12,0.22,0.09,0.22
Alfie Dorrington,eng ENG,DF,20.06,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Will Lankshear,eng ENG,"FW,MF",20.06,3,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oyindamola Ajayi,eng ENG,FW,19.37,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Dante Cassanova,jm JAM,DF,20.89,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Devine,eng ENG,MF,20.78,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Malachi Hardy,eng ENG,DF,17.17,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Maeson King,eng ENG,DF,19.67,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Yang Minhyeok,kr KOR,MF,19.07,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Callum Olusesi,eng ENG,MF,18.31,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Alfie Whiteman,eng ENG,GK,26.61,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Luca Williams Barnett,eng ENG,FW,16.61,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
