Player,Nation,Pos,Age,90s,PerformanceCrdY,PerformanceCrdR,Performance2CrdY,PerformanceFls,PerformanceFld,PerformanceOff,PerformanceCrs,PerformanceInt,PerformanceTklW,PerformancePKwon,PerformancePKcon,PerformanceOG,PerformanceRecov,Aerial DuelsWon,Aerial DuelsLost,Aerial DuelsWon%,Playing TimeMP,Playing TimeStarts,Playing TimeMin,Playing Time90s,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,ExpectedxG,ExpectednpxG,ExpectedxAG,ExpectednpxG+xAG,ProgressionPrgC,ProgressionPrgP,ProgressionPrgR,Per 90 MinutesGls,Per 90 MinutesAst,Per 90 MinutesG+A,Per 90 MinutesG-PK,Per 90 MinutesG+A-PK,Per 90 MinutesxG,Per 90 MinutesxAG,Per 90 MinutesxG+xAG,Per 90 MinutesnpxG,Per 90 MinutesnpxG+xAG,StandardGls,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardDist,StandardFK,StandardPK,StandardPKatt,ExpectednpxG/Sh,ExpectedG-xG,Expectednp:G-xG,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,ExpectedxA,ExpectedA-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Pass TypesLive,Pass TypesDead,Pass TypesFK,Pass TypesTB,Pass TypesSw,Pass TypesCrs,Pass TypesTI,Pass TypesCK,Corner KicksIn,Corner KicksOut,Corner KicksStr,OutcomesCmp,OutcomesOff,OutcomesBlocks,SCASCA,SCASCA90,SCA TypesPassLive,SCA TypesPassDead,SCA TypesTO,SCA TypesSh,SCA TypesFld,SCA TypesDef,GCAGCA,GCAGCA90,GCA TypesPassLive,GCA TypesPassDead,GCA TypesTO,GCA TypesSh,GCA TypesFld,GCA TypesDef,TacklesTkl,TacklesTklW,TacklesDef 3rd,TacklesMid 3rd,TacklesAtt 3rd,ChallengesTkl,ChallengesAtt,ChallengesTkl%,ChallengesLost,BlocksBlocks,BlocksSh,BlocksPass,Int,Tkl+Int,Clr,Err,TouchesTouches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,Take-OnsAtt,Take-OnsSucc,Take-OnsSucc%,Take-OnsTkld,Take-OnsTkld%,CarriesCarries,CarriesTotDist,CarriesPrgDist,CarriesPrgC,Carries1/3,CarriesCPA,CarriesMis,CarriesDis,ReceivingRec,ReceivingPrgR,Playing TimeMn/MP,Playing TimeMin%,StartsStarts,StartsMn/Start,StartsCompl,SubsSubs,SubsMn/Sub,SubsunSub,Team SuccessPPM,Team SuccessonG,Team SuccessonGA,Team Success+/-,Team Success+/-90,Team SuccessOn-Off,Team Success (xG)onxG,Team Success (xG)onxGA,Team Success (xG)xG+/-,Team Success (xG)xG+/-90,Team Success (xG)On-Off,PerformanceGA,PerformanceGA90,PerformanceSoTA,PerformanceSaves,PerformanceSave%,PerformanceW,PerformanceD,PerformanceL,PerformanceCS,PerformanceCS%,Penalty KicksPKatt,Penalty KicksPKA,Penalty KicksPKsv,Penalty KicksPKm,Penalty KicksSave%,GoalsGA,GoalsPKA,GoalsFK,GoalsCK,GoalsOG,ExpectedPSxG,ExpectedPSxG/SoT,ExpectedPSxG+/-,Expected/90,LaunchedCmp,LaunchedAtt,LaunchedCmp%,PassesAtt (GK),PassesThr,PassesLaunch%,PassesAvgLen,Goal KicksAtt,Goal KicksLaunch%,Goal KicksAvgLen,CrossesOpp,CrossesStp,CrossesStp%,Sweeper#OPA,Sweeper#OPA/90,SweeperAvgDist
Alfie Devine,eng ENG,MF,20-159,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Dorrington,eng ENG,DF,19-262,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,1,0,14.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,15.0,16.0,93.8,304.0,39.0,6.0,7.0,85.7,7.0,7.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,11.0,5.0,0.0,0.0,16.0,0.0,0.0,,0.0,,12.0,61.0,26.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,14.0,0.8,0,,0,1,14.0,3,3.0,0.0,0.0,0.0,0.0,-0.6,0.4,0.0,0.4,2.56,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alfie Whiteman,eng ENG,GK,26-097,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archie Gray,eng ENG,DF,18-301,6.7,0.0,0.0,0.0,2.0,3.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,29.0,7.0,3.0,70.0,13,6,603.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.15,0.15,0.0,0.0,24.6,0.0,0.0,0.0,0.02,0.0,0.0,452.0,501.0,90.2,7585.0,2505.0,184.0,196.0,93.9,243.0,262.0,92.7,19.0,31.0,61.3,0.0,0.0,0.1,0.0,0.0,15.0,0.0,0.0,14.0,501.0,467.0,33.0,12.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,452.0,1.0,6.0,1.0,0.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,4.0,3.0,3.0,7.0,42.9,4.0,9.0,5.0,4.0,5.0,13.0,16.0,2.0,554.0,70.0,268.0,262.0,30.0,0.0,554.0,6.0,3.0,50.0,2.0,33.3,404.0,1821.0,744.0,1.0,3.0,0.0,2.0,3.0,420.0,3.0,46.0,33.5,6,90.0,6,7,9.0,7,1.38,14.0,13.0,1.0,0.15,-0.68,10.1,15.2,-5.1,-0.77,-1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Davies,wls WAL,DF,31-258,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,8.0,10.0,44.4,4,3,271.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,160.0,177.0,90.4,3057.0,1400.0,54.0,58.0,93.1,92.0,95.0,96.8,13.0,20.0,65.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,177.0,164.0,12.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,6.0,5.0,1.0,5.0,6.0,18.0,0.0,211.0,38.0,121.0,86.0,4.0,1.0,211.0,0.0,0.0,,0.0,,130.0,732.0,416.0,3.0,2.0,0.0,1.0,0.0,142.0,0.0,68.0,15.1,3,80.0,2,1,30.0,6,1.75,8.0,2.0,6.0,1.99,1.64,5.5,5.2,0.4,0.13,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon Austin,eng ENG,GK,25-365,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,22.0,32.0,68.8,526.0,386.0,7.0,7.0,100.0,9.0,9.0,100.0,6.0,16.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,30.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,,0.0,,22.0,104.0,46.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,90.0,5.0,1,90.0,1,0,,8,0.0,1.0,2.0,-1.0,-1.0,-1.68,0.9,2.5,-1.6,-1.57,-1.77,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.2,3.0,11.0,27.3,26.0,5.0,38.5,32.3,6.0,16.7,29.0,15.0,5.0,33.3,2.0,2.0,12.4
Brennan Johnson,wls WAL,FW,23-229,16.1,3.0,0.0,0.0,19.0,14.0,5.0,37.0,4.0,20.0,1.0,0.0,0.0,41.0,7.0,13.0,35.0,20,16,1447.0,16.1,7.0,2.0,9.0,7.0,0.0,0.0,7.9,7.9,1.3,9.3,46.0,49.0,150.0,0.44,0.12,0.56,0.44,0.56,0.49,0.08,0.58,0.49,0.58,7.0,44.0,16.0,36.4,2.74,1.0,0.16,0.44,11.6,0.0,0.0,0.0,0.18,-0.9,-0.9,308.0,436.0,70.6,3986.0,1131.0,189.0,234.0,80.8,96.0,130.0,73.8,7.0,17.0,41.2,2.0,1.3,1.2,0.7,14.0,21.0,22.0,4.0,49.0,436.0,427.0,7.0,0.0,0.0,0.0,37.0,7.0,0.0,0.0,0.0,0.0,308.0,2.0,31.0,35.0,2.18,24.0,0.0,5.0,4.0,1.0,1.0,6.0,0.37,5.0,0.0,1.0,0.0,0.0,0.0,31.0,20.0,5.0,18.0,8.0,12.0,25.0,48.0,13.0,15.0,2.0,13.0,4.0,35.0,9.0,0.0,588.0,10.0,54.0,178.0,363.0,99.0,588.0,28.0,14.0,50.0,11.0,39.3,361.0,2035.0,1038.0,46.0,14.0,27.0,16.0,9.0,422.0,150.0,72.0,80.4,16,81.0,9,4,38.0,0,1.2,30.0,21.0,9.0,0.56,-0.21,27.5,24.4,3.1,0.19,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callum Olusesi,eng ENG,MF,17-356,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristian Romero,ar ARG,DF,26-255,10.8,1.0,0.0,0.0,7.0,9.0,1.0,3.0,13.0,23.0,0.0,0.0,0.0,63.0,27.0,23.0,54.0,12,12,974.0,10.8,1.0,0.0,1.0,1.0,0.0,0.0,1.1,1.1,0.5,1.6,10.0,48.0,2.0,0.09,0.0,0.09,0.09,0.09,0.1,0.05,0.15,0.1,0.15,1.0,11.0,4.0,36.4,1.02,0.37,0.09,0.25,9.4,0.0,0.0,0.0,0.1,-0.1,-0.1,793.0,880.0,90.1,14806.0,5799.0,275.0,298.0,92.3,451.0,477.0,94.5,57.0,85.0,67.1,0.0,0.5,0.7,-0.5,6.0,85.0,7.0,1.0,48.0,880.0,806.0,72.0,56.0,4.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,793.0,2.0,5.0,16.0,1.48,13.0,0.0,0.0,3.0,0.0,0.0,2.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,22.0,5.0,0.0,15.0,22.0,68.2,7.0,13.0,3.0,10.0,13.0,40.0,32.0,0.0,981.0,112.0,402.0,531.0,54.0,16.0,981.0,3.0,1.0,33.3,1.0,33.3,656.0,3423.0,2136.0,10.0,16.0,0.0,4.0,3.0,672.0,2.0,81.0,54.1,12,81.0,10,0,,0,1.33,22.0,13.0,9.0,0.83,0.5,20.0,12.7,7.2,0.67,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dejan Kulusevski,se SWE,"MF,FW",24-257,17.7,3.0,0.0,0.0,30.0,27.0,5.0,76.0,10.0,15.0,0.0,0.0,0.0,83.0,7.0,7.0,50.0,20,18,1590.0,17.7,5.0,4.0,9.0,5.0,0.0,0.0,3.0,3.0,4.9,7.9,93.0,89.0,156.0,0.28,0.23,0.51,0.28,0.51,0.17,0.28,0.45,0.17,0.45,5.0,31.0,11.0,35.5,1.75,0.62,0.16,0.45,15.3,0.0,0.0,0.0,0.1,2.0,2.0,442.0,619.0,71.4,6076.0,1990.0,273.0,323.0,84.5,127.0,172.0,73.8,20.0,54.0,37.0,4.0,4.9,3.3,-0.9,47.0,45.0,42.0,4.0,89.0,619.0,547.0,70.0,2.0,7.0,0.0,76.0,5.0,58.0,25.0,0.0,0.0,442.0,2.0,31.0,98.0,5.55,73.0,11.0,10.0,1.0,3.0,0.0,7.0,0.4,6.0,0.0,1.0,0.0,0.0,0.0,26.0,15.0,8.0,8.0,10.0,10.0,30.0,33.3,20.0,20.0,3.0,17.0,10.0,36.0,8.0,0.0,877.0,15.0,87.0,283.0,527.0,119.0,877.0,82.0,29.0,35.4,46.0,56.1,564.0,4453.0,2458.0,93.0,52.0,29.0,50.0,50.0,609.0,156.0,80.0,88.3,18,86.0,15,2,18.0,0,1.2,37.0,27.0,10.0,0.57,-0.29,32.8,30.3,2.5,0.14,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
